"ID","Age","Gender","Department_Major","Department_Minor","質問1","質問2","質問3","質問4","質問5","質問6","質問7","質問8","質問9","質問10","質問11","質問12","質問13","質問14","質問15","質問16","質問17","質問18","質問19","質問20","質問21","質問22","質問23","質問24","質問25","質問26","質問27","質問28","質問29","質問30","質問31","質問32","質問33","質問34","質問35","質問36","質問37","質問38","質問39","質問40","質問41","質問42","質問43","質問44","質問45","質問46","質問47","質問48","質問49","質問50","質問51","質問52","質問53","質問54","質問55","質問56","質問57","質問58","質問59","質問60","質問61","質問62","質問63","質問64","質問65","質問66","質問67","質問68","質問69","質問70","質問71","質問72","質問73","質問74","質問75","質問76","質問77","質問78","質問79","質問80"
1,37,"男性","生産本部","品質保証部",,,,"b","a","c","c","d","b","c","b","c","b","c","a","d","d","a","c","a","c","b","c","b","d","b","a","c","b","c","a","c","b","c","a","d","b","b","c","c","b","b","a","c","c","b","b","a","b","b","a","c","a","d","c","a","c","a","c","c","c","b","a","d","c","d","d","c","d","c","c","d","d","c","a","b","b","a","b","d"
2,43,"女性","管理本部","法務部",,,,"d","c","a","d","a","b","b","c","c","a","b","b","a","a","a","a","d","c","c","a","d","a","c","b","c","c","c","c","d","d","a","b","c","d","a","d","a","a","a","a","d","a","c","b","b","a","d","c","d","d","d","a","a","a","d","b","d","d","c","a","d","b","a","c","b","d","c","a","a","c","b","c","d","d","c","b","d"
3,26,"男性","開発本部","デザイン部",,,,"a","a","a","b","c","d","c","b","c","d","b","b","a","c","a","a","d","a","b","a","d","a","d","b","a","a","d","d","c","a","a","b","a","c","b","c","a","d","c","d","b","c","b","d","a","d","d","c","d","a","c","c","d","d","c","b","b","b","a","b","b","c","d","c","b","c","d","b","a","b","a","c","b","d","b","d","c"
4,38,"男性","開発本部","技術研究部",,,,"c","a","d","d","b","a","d","c","c","a","b","c","a","b","d","c","c","d","d","a","c","a","a","b","a","b","c","c","a","a","b","c","d","c","d","b","c","d","d","b","b","d","b","c","c","a","d","d","d","d","c","b","c","c","b","b","a","c","d","b","b","b","d","c","c","c","a","a","a","d","a","c","b","d","d","a","a"
5,50,"男性","生産本部","生産管理部",,,,"a","a","c","c","a","d","b","a","d","a","a","c","a","d","b","a","b","a","a","c","a","b","a","b","a","d","b","d","a","a","d","b","c","c","d","b","a","d","b","b","a","b","b","a","c","c","b","d","b","d","a","c","a","a","a","a","c","d","d","d","d","b","c","c","b","c","d","d","d","a","a","a","d","b","b","b","d"
6,52,"男性","企画部","広報IR課",,,,"c","a","a","b","b","c","c","b","b","c","d","b","c","b","c","c","d","c","a","b","a","b","c","a","c","a","a","d","b","c","d","a","c","c","c","b","c","a","b","c","d","c","a","b","d","d","c","b","c","a","c","d","d","d","d","c","d","d","a","c","c","c","b","d","d","d","c","c","c","b","b","c","c","c","d","c","c"
7,40,"女性","マーケット戦略部","マーケット戦略2課",,"c","a","b","c","a","a","c","c","c","d","a","c","a","c","d","a","d","c","c","b","b","a","a","a","b","d","a","b","a","b","a","b","d","a","b","b","b","b","a","d","c","a","d","d","c","c","a","d","c","c","d","c","b","b","c","b","c","b","a","a","c","d","d","d","a","d","c","c","b","b","b","d","a","b","d","a","d","a","d"
8,52,"女性","管理本部","人事部",,"b","c","d","a","c","c","a","b","d","d","d","b","d","b","d","a","b","b","c","b","a","b","c","a","a","d","a","b","a","b","b","b","a","d","a","a","d","d","d","b","d","c","a","b","d","d","a","a","b","c","c","a","a","b","b","d","c","d","a","c","a","a","a","d","a","c","a","c","c","c","a","a","b","a","a","b","b","b","c"
9,57,"男性","営業本部","海外営業部",,"b","c","c","a","d","c","a","b","c","a","a","c","c","b","b","d","c","b","c","b","c","d","c","c","b","a","b","c","b","b","d","c","d","b","c","a","c","a","c","b","d","b","a","a","a","b","a","d","a","d","a","c","a","c","a","a","b","d","b","b","d","d","c","a","c","b","a","b","a","d","d","c","d","a","a","b","a","b","b"
10,56,"男性","生産本部","品質保証部",,"a","b","d","d","c","c","a","d","b","a","b","a","a","a","d","b","b","d","a","c","c","d","a","a","c","b","a","a","c","d","b","c","d","b","d","b","c","b","b","a","c","d","d","a","d","d","a","c","d","d","b","b","d","a","b","b","c","d","c","c","c","d","a","d","a","b","d","b","c","d","d","b","c","b","c","d","c","d","a"
