ID,Age,Gender,Department_Major,Department_Minor,質問1,質問2,質問3,質問4,質問5,質問6,質問7,質問8,質問9,質問10,質問11,質問12,質問13,質問14,質問15,質問16,質問17,質問18,質問19,質問20,質問21,質問22,質問23,質問24,質問25,質問26,質問27,質問28,質問29,質問30,質問31,質問32,質問33,質問34,質問35,質問36,質問37,質問38,質問39,質問40,質問41,質問42,質問43,質問44,質問45,質問46,質問47,質問48,質問49,質問50,質問51,質問52,質問53,質問54,質問55,質問56,質問57,質問58,質問59,質問60,質問61,質問62,質問63,質問64,質問65,質問66,質問67,質問68,質問69,質問70,質問71,質問72,質問73,質問74,質問75,質問76,質問77,質問78,質問79,質問80
1,37,男性,生産本部,品質保証部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
2,43,女性,管理本部,法務部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
3,26,男性,開発本部,デザイン部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
4,38,男性,開発本部,技術研究部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
5,50,男性,生産本部,生産管理部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
6,52,男性,企画部,広報IR課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
7,40,女性,マーケット戦略部,マーケット戦略2課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
8,52,女性,管理本部,人事部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
9,57,男性,営業本部,海外営業部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
10,56,男性,生産本部,品質保証部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
11,28,男性,営業本部,国内営業第一部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
12,56,女性,営業本部,国内営業第一部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
13,40,女性,営業本部,海外営業部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
14,31,男性,営業本部,国内営業第二部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
15,31,女性,管理本部,人事部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
16,31,女性,営業本部,国内営業第二部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
17,28,男性,マーケット戦略部,マーケット戦略1課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
18,56,男性,開発本部,製品開発部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
19,24,男性,管理本部,人事部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
20,45,女性,営業本部,国内営業第一部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
21,33,男性,企画部,事業開発課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
22,20,女性,生産本部,品質保証部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
23,51,女性,管理本部,人事部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
24,37,女性,企画部,広報IR課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
25,47,男性,管理本部,経理部,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
26,25,女性,企画部,経営企画課,d,d,d,d,d,d,d,a,a,a,d,d,d,a,d,a,a,d,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a
