"ID","Age","Gender","Department_Major","Department_Minor","質問1","質問2","質問3","質問4","質問5","質問6","質問7","質問8","質問9","質問10","質問11","質問12","質問13","質問14","質問15","質問16","質問17","質問18","質問19","質問20","質問21","質問22","質問23","質問24","質問25","質問26","質問27","質問28","質問29","質問30","質問31","質問32","質問33","質問34","質問35","質問36","質問37","質問38","質問39","質問40","質問41","質問42","質問43","質問44","質問45","質問46","質問47","質問48","質問49","質問50","質問51","質問52","質問53","質問54","質問55","質問56","質問57","質問58","質問59","質問60","質問61","質問62","質問63","質問64","質問65","質問66","質問67","質問68","質問69","質問70","質問71","質問72","質問73","質問74","質問75","質問76","質問77","質問78","質問79","質問80"
1,44,"女性","管理本部","法務部","d","a","a","c","a","b","b","d","c","b","d","b","b","a","c","c","c","d","a","c","d","b","c","d","b","a","b","d","b","c","d","a","d","d","b","a","a","c","b","c","a","d","c","d","a","d","a","b","b","b","b","c","b","c","c","d","c","b","c","d","c","c","d","c","a","b","d","d","a","c","c","b","c","b","d","a","a","d","c","c"
2,29,"女性","営業本部","国内営業第二部","a","b","b","c","b","b","d","d","a","a","c","a","d","c","a","d","d","c","c","c","d","c","d","b","c","a","a","d","b","b","a","d","c","c","d","c","b","d","a","c","d","d","d","a","b","b","c","c","b","b","d","b","a","c","a","a","b","c","d","b","b","a","a","a","c","b","a","c","d","c","a","b","c","b","c","c","a","c","d","c"
3,27,"男性","営業本部","国内営業第二部","b","a","d","c","c","b","d","d","a","b","a","a","a","c","c","c","c","b","c","c","c","c","c","a","c","d","c","a","a","a","a","c","c","b","b","b","a","b","a","c","a","d","c","a","c","a","a","b","a","c","a","a","a","d","a","d","d","d","a","d","d","d","a","d","b","a","d","a","b","c","c","d","b","c","a","a","a","a","a","b"
4,34,"女性","企画部","経営企画課","b","b","b","d","a","c","c","d","a","c","c","b","a","a","c","a","b","d","a","d","b","c","b","d","a","c","b","b","b","a","b","a","b","a","d","b","b","d","c","c","a","c","a","c","c","a","a","a","d","b","c","a","c","c","b","a","a","c","d","c","a","b","c","c","d","d","a","b","c","b","a","a","d","c","c","c","d","b","b","a"
5,53,"女性","生産本部","生産管理部","b","a","d","a","c","d","c","a","d","c","a","c","d","d","a","a","a","b","b","c","b","c","b","d","a","a","d","d","a","b","a","b","d","a","d","c","a","a","a","a","b","d","a","c","a","d","d","d","b","d","d","c","b","a","c","c","c","d","b","d","c","b","b","d","a","b","c","a","a","b","b","a","c","c","b","b","c","c","a","b"
6,60,"女性","企画部","広報IR課","a","d","a","a","d","d","c","d","d","c","d","c","a","c","b","a","a","d","d","c","c","b","c","b","a","b","a","d","b","a","d","d","a","a","a","b","a","d","a","d","c","c","b","a","a","a","b","c","c","d","d","b","a","d","d","b","b","c","c","a","c","c","c","c","b","c","c","a","d","b","b","b","c","a","d","c","a","c","d","d"
7,40,"男性","生産本部","製造第二課","d","a","c","a","a","b","c","c","b","b","c","d","b","b","c","b","a","a","d","d","c","c","d","c","a","d","d","a","d","c","b","c","a","a","a","d","d","a","b","b","d","c","d","a","d","c","c","a","d","c","a","b","b","b","a","b","c","b","d","d","a","b","a","c","d","b","d","d","d","c","b","b","b","c","a","c","b","b","b","a"
8,38,"女性","管理本部","人事部","b","d","b","d","b","b","a","d","d","b","d","a","b","d","b","d","d","a","c","a","d","a","a","a","a","d","a","c","a","b","b","c","b","c","b","c","c","d","a","c","c","b","a","d","d","b","b","a","a","a","b","d","a","d","c","c","d","d","a","b","d","d","a","a","b","d","b","a","c","c","b","b","c","d","c","d","c","a","a","d"
9,24,"女性","生産本部","生産管理部","c","a","d","d","b","c","a","d","b","c","a","d","d","d","c","b","a","c","b","b","c","d","c","d","c","b","a","d","d","c","c","c","a","c","a","c","b","d","c","a","d","c","c","c","b","b","d","b","d","c","c","c","d","a","c","d","b","a","d","d","d","a","d","d","d","b","a","d","a","b","b","a","a","d","c","d","a","c","b","d"
10,32,"女性","開発本部","デザイン部","d","c","c","d","a","c","b","d","c","d","c","c","d","a","d","c","b","c","b","b","c","d","a","a","a","c","b","a","c","d","c","c","c","d","c","b","b","b","d","d","d","d","b","b","d","a","b","b","b","c","d","d","a","a","a","c","d","d","a","a","d","c","b","b","b","d","c","b","b","c","a","b","b","d","c","c","b","d","c","b"
