q,good_value,label1,label2,label3,label4
1,4,そうだ,まあそうだ,ややちがう,ちがう
2,4,そうだ,まあそうだ,ややちがう,ちがう
3,4,そうだ,まあそうだ,ややちがう,ちがう
4,4,そうだ,まあそうだ,ややちがう,ちがう
5,4,そうだ,まあそうだ,ややちがう,ちがう
6,4,そうだ,まあそうだ,ややちがう,ちがう
7,4,そうだ,まあそうだ,ややちがう,ちがう
8,1,そうだ,まあそうだ,ややちがう,ちがう
9,1,そうだ,まあそうだ,ややちがう,ちがう
10,1,そうだ,まあそうだ,ややちがう,ちがう
11,4,そうだ,まあそうだ,ややちがう,ちがう
12,4,そうだ,まあそうだ,ややちがう,ちがう
13,4,そうだ,まあそうだ,ややちがう,ちがう
14,1,そうだ,まあそうだ,ややちがう,ちがう
15,4,そうだ,まあそうだ,ややちがう,ちがう
16,1,そうだ,まあそうだ,ややちがう,ちがう
17,1,そうだ,まあそうだ,ややちがう,ちがう
18,4,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
19,4,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
20,4,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
21,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
22,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
23,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
24,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
25,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
26,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
27,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
28,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
29,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
30,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
31,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
32,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
33,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
34,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
35,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
36,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
37,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
38,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
39,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
40,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
41,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
42,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
43,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
44,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
45,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
46,1,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
47,1,非常に,かなり,多少,全くない
48,1,非常に,かなり,多少,全くない
49,1,非常に,かなり,多少,全くない
50,1,非常に,かなり,多少,全くない
51,1,非常に,かなり,多少,全くない
52,1,非常に,かなり,多少,全くない
53,1,非常に,かなり,多少,全くない
54,1,非常に,かなり,多少,全くない
55,1,非常に,かなり,多少,全くない
56,1,満足,まあ満足,やや不満足,不満足
57,1,満足,まあ満足,やや不満足,不満足
58,4,そうだ,まあそうだ,ややちがう,ちがう
59,4,そうだ,まあそうだ,ややちがう,ちがう
60,1,そうだ,まあそうだ,ややちがう,ちがう
61,1,そうだ,まあそうだ,ややちがう,ちがう
62,1,そうだ,まあそうだ,ややちがう,ちがう
63,1,そうだ,まあそうだ,ややちがう,ちがう
64,4,そうだ,まあそうだ,ややちがう,ちがう
65,1,そうだ,まあそうだ,ややちがう,ちがう
66,1,そうだ,まあそうだ,ややちがう,ちがう
67,1,そうだ,まあそうだ,ややちがう,ちがう
68,1,そうだ,まあそうだ,ややちがう,ちがう
69,1,そうだ,まあそうだ,ややちがう,ちがう
70,1,そうだ,まあそうだ,ややちがう,ちがう
71,1,そうだ,まあそうだ,ややちがう,ちがう
72,1,そうだ,まあそうだ,ややちがう,ちがう
73,1,そうだ,まあそうだ,ややちがう,ちがう
74,4,そうだ,まあそうだ,ややちがう,ちがう
75,1,そうだ,まあそうだ,ややちがう,ちがう
76,4,そうだ,まあそうだ,ややちがう,ちがう
77,1,そうだ,まあそうだ,ややちがう,ちがう
78,1,そうだ,まあそうだ,ややちがう,ちがう
79,1,そうだ,まあそうだ,ややちがう,ちがう
80,1,そうだ,まあそうだ,ややちがう,ちがう
