qnum,qtext
1,非常にたくさんの仕事をしなければならない
2,時間内に仕事が処理しきれない
3,一生懸命働かなければならない
4,かなり注意を集中する必要がある
5,高度の知識や技術が必要なむずかしい仕事だ
6,勤務時間中はいつも仕事のことを考えていなければならない
7,からだを大変よく使う仕事だ
8,自分のペースで仕事ができる
9,自分で仕事の順番・やり方を決めることができる
10,職場の仕事の方針に自分の意見を反映できる
11,自分の技能や知識を仕事で使うことが少ない
12,私の部署内で意見のくい違いがある
13,私の部署と他の部署とはうまが合わない
14,私の職場の雰囲気は友好的である
15,私の職場の作業環境（騒音、照明、温度、換気など）はよくない
16,仕事の内容は自分にあっている
17,働きがいのある仕事だ
18,活気がわいてくる
19,元気がいっぱいだ
20,生き生きする
21,怒りを感じる
22,内心腹立たしい
23,イライラしている
24,ひどく疲れた
25,へとへとだ
26,だるい
27,気がはりつめている
28,不安だ
29,落着かない
30,ゆううつだ
31,何をするのも面倒だ
32,物事に集中できない
33,気分が晴れない
34,仕事が手につかない
35,悲しいと感じる
36,めまいがする
37,体のふしぶしが痛む
38,頭が重かったり頭痛がする
39,首筋や肩がこる
40,腰が痛い
41,目が疲れる
42,動悸や息切れがする
43,胃腸の具合が悪い
44,食欲がない
45,便秘や下痢をする
46,よく眠れない
47,気軽に話ができる‐上司
48,気軽に話ができる‐職場の同僚
49,気軽に話ができる‐配偶者、家族、友人等
50,頼りになる-上司
51,頼りになる-職場の同僚
52,頼りになる-配偶者、家族、友人等
53,個人的な問題の相談-上司
54,個人的な問題の相談-職場の同僚
55,個人的な問題の相談-配偶者、家族、友人等
56,仕事に満足だ
57,家庭生活に満足だ
58,感情面で負担になる仕事だ
59,複数の人からお互いに矛盾したことを要求される
60,自分の職務や責任が何であるか分かっている
61,仕事で自分の長所をのばす機会がある
62,自分の仕事に見合う給料やボーナスをもらっている
63,私は上司からふさわしい評価を受けている
64,職を失う恐れがある
65,上司は、部下が能力を伸ばす機会を持てるように、取り計らってくれる
66,上司は誠実な態度で対応してくれる
67,努力して仕事をすれば、ほめてもらえる
68,失敗しても挽回(ばんかい)するチャンスがある職場だ
69,経営層からの情報は信頼できる
70,職場や仕事で変化があるときには、従業員の意見が聞かれている
71,一人ひとりの価値観を大事にしてくれる職場だ
72,人事評価の結果について十分な説明がなされている
73,職場では、（正規、非正規、アルバイトなど）いろいろな立場の人が職場の一員として尊重されている
74,意欲を引き出したり、キャリアに役立つ教育が行われている
75,仕事のことを考えているため自分の生活を充実させられない
76,仕事でエネルギーをもらうことで、自分の生活がさらに充実している
77,職場で自分がいじめにあっている(セクハラ、パワハラを含む)
78,私たちの職場では、お互いに理解し認め合っている
79,仕事をしていると、活力がみなぎるように感じる
80,自分の仕事に誇りを感じる
